id,name,year,budget,popularity,runtime,vote_average,poster_path
36929,Big Bully,1996,15000000,2.936443,90,3.9,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg
9102,Screamers,1995,20000000,12.758848,108,6.1,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg
124626,Nico Icon,1995,0,0.133893,70,7.3,/tuIDKBp92R4tGFOB46MofvakfiY.jpg
27526,The Crossing Guard,1995,0,5.756462,111,6.1,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg
9623,The Juror,1996,44000000,6.010579,118,5.5,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg
46785,The White Balloon,1995,0,1.196256,85,7.5,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg
400,Things to Do in Denver When You're Dead,1995,8000000,4.486179,116,6.7,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg
880,Antonia's Line,1995,900000,2.030174,102,7.2,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg
146599,Once Upon a Time... When We Were Colored,1996,0,0.252287,115,4.5,/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg
188588,Last Summer in the Hamptons,1995,0,0.531159,108,0,/pfgpkDNcwSi1x4jVzeLqvxTwX5a.jpg
8447,Angels and Insects,1995,0,2.15166,118,6.3,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg
10534,White Squall,1996,38000000,9.568604,129,6.3,/3a5nomeyzJF4gG26HouCtce99ki.jpg
17414,Dunston Checks In,1996,16000000,4.814825,88,5.1,/lXSWbUA3T2o792SYdbfFKFTcSC1.jpg
13997,Black Sheep,1996,0,8.963037,87,6,/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg
2086,Nick of Time,1995,8169363,6.848591,90,6.1,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg
61548,The Journey of August King,1995,0,0.411424,91,6.7,/hT5CF2RJPAVi9TE4iKxGYAufY4J.jpg
9095,Mary Reilly,1996,47000000,12.866139,104,5.7,/Oesh4pN5J2ing4flkgkiVdxILP.jpg
12158,Vampire in Brooklyn,1995,14000000,9.071127,100,4.5,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg
9283,Beautiful Girls,1996,0,4.670562,112,6.6,/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg
9208,Broken Arrow,1996,50000000,14.957626,108,5.7,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg
40154,A Midwinter's Tale,1995,0,0.513391,99,7.5,/6u2N0gn6uUWF4cSdkXmVB8E8q2X.jpg
406,La Haine,1995,3000000,12.108196,98,7.9,/jTzBED0leGPwWDqNewye11qzJgd.jpg
45549,Shopping,1994,0,2.657647,105,5.6,/jdYL6f0KXnYBcnWnwGtnanJtKlE.jpg
63076,Heidi Fleiss: Hollywood Madam,1995,0,0.638211,106,6.8,/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg
11062,City Hall,1996,0,4.807223,111,6,/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg
13685,Bottle Rocket,1996,7000000,6.904831,91,6.8,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg
47475,Mr. Wrong,1996,0,3.329264,96,3.3,/8oZW1loLEczN1BU60YobsJJFdSR.jpg
2045,Unforgettable,1996,18000000,2.464425,106,5.3,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg
9614,Happy Gilmore,1996,12000000,9.592265,92,6.5,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg
688,The Bridges of Madison County,1995,24000000,5.951077,135,7.3,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg
11907,Nobody Loves Me,1994,0,1.015068,104,5.1,/lnfMQ6K2EgJpn2JZTadnaufiwiR.jpg
10874,Muppet Treasure Island,1996,0,6.902423,100,6.5,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg
89333,Catwalk,1995,0,0.976707,95,7,/yhFcbTCnsWjg3nH3PLL6RoltjqS.jpg
96357,Headless Body in Topless Bar,1995,0,0.001346,110,0,/tQ6HEWNxvbeF2WklTVEp3su446F.jpg
197,Braveheart,1995,72000000,20.755149,177,7.7,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg
103,Taxi Driver,1976,1300000,14.092713,114,8.1,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg
33542,Rumble in the Bronx,1995,7500000,12.314278,91,6.5,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg
43566,Before and After,1996,35000000,2.938293,108,5.8,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg
71754,Margaret's Museum,1995,0,0.372697,114,7.5,/l00ALsdVyRGmPIp5EWlEoplki0X.jpg
43612,Happiness Is in the Field,1995,13365000,1.254885,106,7,/4PlYwKSqsjKFr4hjh61KukRIRvy.jpg
51352,Anne Frank Remembered,1995,0,0.243986,117,7.3,/x2n4YIVsms3JL8qCfzrbOg2yx0x.jpg
16934,The Young Poisoner's Handbook,1995,0,6.178497,99,6.9,/yLEdmdH8sgK0hbHT4Oie1l1pt5d.jpg
10324,If Lucy Fell,1996,0,2.891918,92,5.4,/kFjffUg7zcST9AW4GoWiJFoNsH3.jpg
78406,Steal Big Steal Little,1995,25000000,1.522412,113,5.1,/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg
55731,Race the Sun,1996,0,1.317878,100,5.2,/odifQ57irGc3k0x85djZ0yT2Inn.jpg
32119,The Boys of St. Vincent,1992,0,0.86539,90,7,/zC4WsoeXN2wCrUjNzu4iu7ph17Z.jpg
11066,Boomerang,1992,40000000,6.506983,117,5.4,/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg
11104,Chungking Express,1994,0,6.778979,102,7.9,/yQUjZTzwgskqOJdr3jhwQ4yTkvb.jpg
37975,The Star Maker,1995,0,1.702639,113,6.8,/zRLV8Gz4x3k4Dc4Zxbmz7jsqNoN.jpg
2074,Flirting with Disaster,1996,7000000,5.579088,92,6.3,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg
27793,The Neverending Story III: Escape from Fantasia,1994,17000000,6.252377,95,4.4,/driZCEKL79PaCsZNICSU3xd59sk.jpg
44284,The Silences of the Palace,1994,0,0.406754,116,4.3,/3M4bH7A2L6wrHeueTUwr5PKYkfS.jpg
290157,Jupiter's Wife,1995,0,0.001178,87,0,/uUi23HjvDFYGfuVlCBGozUY1Ab4.jpg
110972,Pie in the Sky,1996,0,0.699066,95,7,/6KO5jsPOr80J8PkKXPE8fym5I2R.jpg
32622,Angela,1995,0,2.197439,99,5.6,/dw5RWgSSDV5h3ZKS0oSzPe6A26p.jpg
73067,Frankie Starlight,1995,0,0.637554,101,5.4,/1cPX7MWnEYG21tSdEpWlFygZUwY.jpg
11863,Jade,1995,50000000,11.418917,95,5.1,/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg
55475,Nueba Yol,1995,0,0.291021,102,5.5,/1VNalbjNQkKejRnHW2XM6SwnCa0.jpg
124636,Sonic Outlaws,1995,0,0.001838,87,0,/wU4NBvZdP1wTAq142OR5knnhfG5.jpg
